i value
1.167 0.693
1.517 0.693
1.767 0.693
2.017 0.693
2.267 0.693
2.600 0.998
2.950 0.998
3.283 0.998
3.533 0.998
3.783 0.998
4.117 0.998
4.467 0.999
4.800 0.999
5.050 0.999
5.300 0.999
5.633 0.998
5.967 0.998
6.317 0.998
6.567 0.998
6.817 0.998
7.150 0.998
7.500 0.998
7.833 0.999
8.083 0.999
8.333 0.999
8.667 0.999
9.000 0.999
9.350 0.998
9.600 0.998
9.850 0.998
10.100 0.999
10.433 0.998
10.783 0.998
11.117 0.999
11.367 0.999
11.617 0.999
11.950 0.999
12.300 0.999
12.633 0.999
12.883 0.999
13.133 0.999
13.467 0.999
13.800 0.999
14.150 0.999
14.483 0.999
14.733 0.999
15.067 0.998
15.400 0.998
15.750 0.998
16.000 0.998
16.250 0.998
16.583 0.998
16.933 0.998
17.267 0.999
17.517 0.999
17.767 0.999
18.100 0.999
18.450 1.000
18.783 0.999
19.117 0.999
19.367 0.999
