i value
0.000 0.900
0.333 0.900
0.583 0.900
0.833 0.900
1.167 0.900
1.517 0.900
1.767 0.900
2.017 0.900
2.267 0.900
2.600 0.900
2.950 0.900
3.283 0.900
3.533 0.900
3.783 0.900
4.117 0.900
4.467 0.900
4.800 0.900
5.050 0.900
5.300 0.900
5.633 0.900
5.967 0.900
6.317 0.900
6.567 0.900
6.817 0.900
7.150 0.900
7.500 0.900
7.833 0.900
8.083 0.900
8.333 0.900
8.667 0.900
9.000 0.900
9.350 0.900
9.600 0.900
9.850 0.900
10.100 0.900
10.433 0.900
10.783 0.900
11.117 0.900
11.367 0.900
11.617 0.900
11.950 0.900
12.300 0.900
12.633 0.900
12.883 0.900
13.133 0.900
13.467 0.900
13.800 0.900
14.150 0.900
14.483 0.900
14.733 0.900
15.067 0.900
15.400 0.900
15.750 0.900
16.000 0.900
16.250 0.900
16.583 0.900
16.933 0.900
17.267 0.900
17.517 0.900
17.767 0.900
18.100 0.900
18.450 0.900
18.783 0.900
19.117 0.900
19.367 0.900
