i value
0.000 168.201
0.333 168.153
0.583 168.068
0.833 168.067
1.167 168.028
1.517 35.187
1.767 34.656
2.017 34.569
2.267 34.529
2.600 34.626
2.950 34.630
3.283 34.661
3.533 34.651
3.783 34.695
4.117 34.506
4.467 34.830
4.800 34.510
5.050 34.534
5.300 34.469
5.633 34.473
5.967 34.673
6.317 34.557
6.567 34.609
6.817 34.737
7.150 34.821
7.500 34.959
7.833 34.551
8.083 34.450
8.333 34.522
8.667 34.530
9.000 34.515
9.350 34.504
9.600 34.479
9.850 34.467
10.100 34.563
10.433 34.546
10.783 34.706
11.117 34.559
11.367 34.551
11.617 34.509
11.950 34.570
12.300 34.535
12.633 34.582
12.883 34.500
13.133 34.525
13.467 34.502
13.800 34.697
14.150 34.611
14.483 34.624
14.733 34.560
15.067 34.585
15.400 34.788
15.750 35.046
16.000 34.575
16.250 34.634
16.583 34.582
16.933 34.477
17.267 34.499
17.517 34.486
17.767 34.460
18.100 34.420
18.450 34.472
18.783 34.531
19.117 34.579
19.367 34.586
