i value
0.000 1.000
0.350 1.000
0.600 1.000
0.850 1.000
1.183 1.000
1.533 1.000
1.783 1.000
2.033 1.000
2.283 1.000
2.617 1.000
2.967 1.000
3.217 1.000
3.467 1.000
3.717 1.000
4.050 1.000
4.383 1.000
4.733 1.000
4.983 1.000
5.233 1.000
5.483 1.000
5.817 1.000
6.167 1.000
6.500 1.000
6.750 1.000
7.083 1.000
7.417 1.000
7.767 1.000
8.017 1.000
8.267 1.000
8.517 1.000
8.850 1.000
9.200 1.000
9.533 1.000
9.783 1.000
10.033 1.000
10.367 1.000
10.700 1.000
11.050 1.000
11.300 1.000
11.550 1.000
11.800 1.000
12.133 1.000
12.483 1.000
12.817 1.000
13.067 1.000
13.317 1.000
13.650 1.000
13.983 1.000
14.333 1.000
14.583 1.000
14.833 1.000
15.167 1.000
15.500 1.000
15.850 1.000
16.100 1.000
16.350 1.000
16.683 1.000
17.017 1.000
17.367 1.000
17.617 1.000
17.867 1.000
18.117 1.000
18.450 1.000
18.800 1.000
19.133 1.000
19.383 1.000
