i value
1.183 0.229
1.533 0.243
1.783 0.236
2.033 0.230
2.283 0.225
2.617 0.219
2.967 0.195
3.217 0.200
3.467 0.199
3.717 0.208
4.050 0.211
4.383 0.211
4.733 0.201
4.983 0.197
5.233 0.186
5.483 0.183
5.817 0.179
6.167 0.181
6.500 0.182
6.750 0.193
7.083 0.205
7.417 0.217
7.767 0.217
8.017 0.216
8.267 0.205
8.517 0.201
8.850 0.187
9.200 0.187
9.533 0.189
9.783 0.186
10.033 0.180
10.367 0.184
10.700 0.186
11.050 0.192
11.300 0.197
11.550 0.194
11.800 0.194
12.133 0.188
12.483 0.187
12.817 0.187
13.067 0.187
13.317 0.182
13.650 0.186
13.983 0.186
14.333 0.186
14.583 0.189
14.833 0.195
15.167 0.195
15.500 0.199
15.850 0.208
16.100 0.211
16.350 0.210
16.683 0.212
17.017 0.200
17.367 0.187
17.617 0.182
17.867 0.177
18.117 0.168
18.450 0.167
18.800 0.172
19.133 0.176
19.383 0.180
