i value
1 80.0
2 80.0
3 80.0
4 80.0
5 80.0
6 80.0
7 80.0
8 80.0
9 80.0
10 80.0
11 80.0
12 80.0
13 80.0
14 80.0
15 80.0
16 80.0
17 80.0
18 80.0
19 80.0
20 80.0
21 80.0
22 80.0
23 80.0
24 80.0
25 80.0
26 80.0
27 80.0
28 80.0
29 80.0
30 80.0
31 80.0
32 80.0
33 80.0
34 80.0
35 80.0
36 80.0
37 80.0
38 80.0
39 80.0
40 80.0
41 80.0
42 80.0
43 80.0
44 80.0
45 80.0
46 80.0
47 80.0
48 80.0
49 80.0
50 80.0
51 80.0
52 80.0
53 80.0
54 80.0
55 80.0
56 80.0
57 80.0
58 80.0
59 80.0
60 80.0
61 80.0
62 80.0
63 80.0
64 80.0
65 80.0
66 80.0
