i value
0.000 0.920
0.500 0.920
0.917 0.920
1.433 0.920
1.933 0.920
2.433 0.920
2.950 0.920
3.367 0.920
3.883 0.920
4.383 0.920
4.883 0.920
5.400 0.920
5.917 0.920
6.417 0.920
6.833 0.920
7.350 0.920
7.767 0.920
8.267 0.920
8.783 0.920
9.200 0.920
9.717 0.920
10.217 0.920
10.717 0.920
11.233 0.920
11.650 0.920
12.167 0.920
12.667 0.920
13.083 0.920
13.600 0.920
14.100 0.920
14.617 0.920
15.117 0.920
15.533 0.920
16.050 0.920
16.550 0.920
17.067 0.920
17.567 0.920
18.083 0.920
18.583 0.920
19.083 0.920
