i value
0.000 1.000
0.500 0.998
0.917 1.000
1.433 1.000
1.933 1.000
2.433 0.998
2.950 1.000
3.367 1.000
3.883 0.999
4.383 1.000
4.883 0.999
5.400 0.998
5.917 1.000
6.417 0.999
6.833 0.999
7.350 1.000
7.767 0.997
8.267 0.999
8.783 1.000
9.200 0.999
9.717 0.999
10.217 0.999
10.717 0.998
11.233 0.999
11.650 0.999
12.167 0.999
12.667 0.998
13.083 0.998
13.600 0.999
14.100 0.999
14.617 0.999
15.117 0.999
15.533 0.999
16.050 0.998
16.550 0.998
17.067 0.999
17.567 1.000
18.083 0.999
18.583 0.998
19.083 0.999
