i value
0.000 80.000
0.500 80.000
0.917 80.000
1.433 80.000
1.933 80.000
2.433 80.000
2.950 80.000
3.367 80.000
3.883 80.000
4.383 80.000
4.883 80.000
5.400 80.000
5.917 80.000
6.417 80.000
6.833 80.000
7.350 80.000
7.767 80.000
8.267 80.000
8.783 80.000
9.200 80.000
9.717 80.000
10.217 80.000
10.717 80.000
11.233 80.000
11.650 80.000
12.167 80.000
12.667 80.000
13.083 80.000
13.600 80.000
14.100 80.000
14.617 80.000
15.117 80.000
15.533 80.000
16.050 80.000
16.550 80.000
17.067 80.000
17.567 80.000
18.083 80.000
18.583 80.000
19.083 80.000
