i value
1.950 230.648
2.367 230.648
2.883 230.648
3.300 230.648
3.800 230.648
4.317 191.121
5.250 191.121
5.667 191.121
6.183 191.121
6.600 191.121
7.017 131.385
7.533 131.385
7.950 131.385
8.467 131.385
8.967 131.385
9.383 103.655
9.900 103.188
10.400 103.837
10.900 103.179
11.417 102.895
11.833 102.369
12.350 102.464
12.850 102.365
13.267 102.850
13.783 103.148
14.200 103.740
14.700 103.644
15.217 103.475
15.633 103.703
16.150 103.254
16.650 103.241
17.150 103.145
17.667 103.529
18.083 103.785
18.600 104.607
19.100 104.508
