i value
0.000 231.857
0.517 230.388
0.933 230.883
1.450 229.661
1.950 230.451
2.367 200.152
2.883 189.545
3.300 189.976
3.800 186.985
4.317 188.946
5.250 139.783
5.667 128.074
6.183 129.144
6.600 129.044
7.017 130.879
7.533 104.831
7.950 101.169
8.467 104.618
8.967 103.701
9.383 103.958
9.900 102.493
10.400 104.417
10.900 101.325
11.417 102.281
11.833 101.328
12.350 102.968
12.850 103.924
13.267 103.752
13.783 103.768
14.200 104.289
14.700 102.486
15.217 103.080
15.633 104.889
16.150 101.528
16.650 104.224
17.150 102.005
17.667 104.999
18.083 106.170
18.600 105.639
19.100 103.727
