i value
0.000 120.000
0.333 120.000
0.583 120.000
0.833 120.000
1.167 120.000
1.517 120.000
1.767 120.000
2.017 120.000
2.267 120.000
2.600 120.000
2.950 120.000
3.283 120.000
3.533 120.000
3.783 120.000
4.117 120.000
4.467 120.000
4.800 120.000
5.050 120.000
5.300 120.000
5.633 120.000
5.967 120.000
6.317 120.000
6.567 120.000
6.817 120.000
7.150 120.000
7.500 120.000
7.833 120.000
8.083 120.000
8.333 120.000
8.667 120.000
9.000 120.000
9.350 120.000
9.600 120.000
9.850 120.000
10.100 120.000
10.433 120.000
10.783 120.000
11.117 120.000
11.367 120.000
11.617 120.000
11.950 120.000
12.300 120.000
12.633 120.000
12.883 120.000
13.133 120.000
13.467 120.000
13.800 120.000
14.150 120.000
14.483 120.000
14.733 120.000
15.067 120.000
15.400 120.000
15.750 120.000
16.000 120.000
16.250 120.000
16.583 120.000
16.933 120.000
17.267 120.000
17.517 120.000
17.767 120.000
18.100 120.000
18.450 120.000
18.783 120.000
19.117 120.000
19.367 120.000
