i value
0.000 0.920
0.350 0.920
0.600 0.920
0.850 0.920
1.183 0.920
1.533 0.920
1.783 0.920
2.033 0.920
2.283 0.920
2.617 0.920
2.967 0.920
3.217 0.920
3.467 0.920
3.717 0.920
4.050 0.920
4.383 0.920
4.733 0.920
4.983 0.920
5.233 0.920
5.483 0.920
5.817 0.920
6.167 0.920
6.500 0.920
6.750 0.920
7.083 0.920
7.417 0.920
7.767 0.920
8.017 0.920
8.267 0.920
8.517 0.920
8.850 0.920
9.200 0.920
9.533 0.920
9.783 0.920
10.033 0.920
10.367 0.920
10.700 0.920
11.050 0.920
11.300 0.920
11.550 0.920
11.800 0.920
12.133 0.920
12.483 0.920
12.817 0.920
13.067 0.920
13.317 0.920
13.650 0.920
13.983 0.920
14.333 0.920
14.583 0.920
14.833 0.920
15.167 0.920
15.500 0.920
15.850 0.920
16.100 0.920
16.350 0.920
16.683 0.920
17.017 0.920
17.367 0.920
17.617 0.920
17.867 0.920
18.117 0.920
18.450 0.920
18.800 0.920
19.133 0.920
19.383 0.920
