i value
1.983 188.681
2.500 188.203
3.017 188.890
3.450 188.421
3.967 187.819
4.483 188.094
5.000 187.786
5.500 187.398
6.017 187.474
6.533 187.191
7.050 187.569
7.567 188.015
8.083 187.699
8.600 187.944
9.033 189.215
9.550 188.471
10.050 187.895
10.567 188.155
11.083 187.832
11.600 186.379
12.117 186.032
12.633 186.156
13.133 186.032
13.650 185.581
14.167 186.029
14.683 186.878
15.200 187.107
15.717 187.539
16.233 188.123
16.750 188.246
17.267 187.875
17.767 187.780
18.283 187.260
18.800 187.623
19.317 188.568
