i value
0.000 190.450
0.433 186.981
0.950 189.948
1.467 189.461
1.983 186.563
2.500 188.060
3.017 190.419
3.450 187.604
3.967 186.447
4.483 187.940
5.000 186.521
5.500 188.479
6.017 187.984
6.533 185.030
7.050 189.829
7.567 188.752
8.083 186.901
8.600 189.208
9.033 191.384
9.550 186.109
10.050 185.875
10.567 188.198
11.083 187.594
11.600 184.121
12.117 184.373
12.633 186.491
13.133 187.578
13.650 185.343
14.167 186.361
14.683 188.617
15.200 187.637
15.717 189.738
16.233 188.262
16.750 186.974
17.267 186.764
17.767 187.164
18.283 187.135
18.800 190.075
19.317 191.699
