i value
1.983 441.562
2.500 440.957
3.017 440.642
3.533 440.937
4.050 439.961
4.483 439.659
5.000 439.416
5.517 438.833
6.033 437.859
6.550 438.515
7.050 438.138
7.567 438.004
8.083 437.819
8.600 437.782
9.117 436.807
9.633 437.031
10.150 437.067
10.667 436.687
11.183 436.563
11.683 436.879
12.200 436.470
12.717 436.574
13.233 436.758
13.750 436.421
14.267 436.610
14.783 437.361
15.300 437.326
15.817 437.507
16.333 437.986
16.850 437.464
17.367 436.701
17.867 435.805
18.383 435.393
18.900 434.595
