i value
0.000 0.900
0.433 0.900
0.950 0.900
1.467 0.900
1.983 0.900
2.500 0.900
3.017 0.900
3.450 0.900
3.867 0.900
3.967 0.900
4.383 0.900
4.483 0.900
4.900 0.900
5.000 0.900
5.417 0.900
5.500 0.900
5.933 0.900
6.017 0.900
6.450 0.900
6.533 0.900
6.967 0.900
7.050 0.900
7.400 0.900
7.567 0.900
7.833 0.900
8.083 0.900
8.333 0.900
8.517 0.900
8.850 0.900
9.033 0.900
9.367 0.900
9.533 0.900
9.883 0.900
10.050 0.900
10.400 0.900
10.567 0.900
10.833 0.900
11.083 0.900
11.333 0.900
11.600 0.900
11.850 0.900
12.033 0.900
12.367 0.900
12.533 0.900
12.883 0.900
13.050 0.900
13.317 0.900
13.567 0.900
13.833 0.900
14.083 0.900
14.333 0.900
14.600 0.900
14.850 0.900
15.117 0.900
15.367 0.900
15.633 0.900
15.883 0.900
16.150 0.900
16.400 0.900
16.667 0.900
16.917 0.900
17.183 0.900
17.433 0.900
17.683 0.900
17.950 0.900
18.200 0.900
18.467 0.900
18.717 0.900
18.967 0.900
19.233 0.900
