i value
0.000 1090.939
0.517 1178.820
1.033 1146.265
1.550 1137.484
2.067 1285.661
2.583 1318.377
3.100 1229.793
3.617 1240.377
4.117 1272.174
4.633 1247.667
5.150 1272.156
5.667 1504.089
6.083 1523.385
6.600 1622.311
7.117 1592.854
7.633 664.970
8.150 612.354
8.650 587.486
9.167 608.467
9.683 687.180
10.200 629.656
10.700 656.114
11.217 656.465
11.733 650.340
12.250 647.782
12.767 630.436
13.267 639.549
13.783 669.052
14.300 646.378
14.817 645.212
15.333 653.034
15.850 670.952
16.350 628.311
16.867 603.968
17.383 601.447
17.883 641.378
18.400 635.611
18.917 708.588
