i value
0.000 443.788
0.517 441.287
1.033 438.311
1.550 437.679
2.067 437.338
2.583 445.174
3.100 439.191
3.617 444.204
4.117 439.478
4.633 441.086
5.150 442.403
5.667 437.691
6.100 437.476
6.600 440.061
7.117 439.161
7.633 442.509
8.150 439.967
8.650 439.940
9.167 441.467
9.683 444.456
10.200 444.864
10.700 442.890
11.217 444.354
11.733 443.035
12.250 443.554
12.767 441.029
13.267 443.561
13.783 443.252
14.300 444.371
14.817 444.884
15.333 440.053
15.850 441.807
16.350 441.646
16.867 443.225
17.383 443.322
17.900 444.467
18.417 442.240
18.917 441.533
