i value
0.000 188.650
0.517 195.852
1.033 191.471
1.550 193.316
2.067 189.960
2.583 187.694
3.100 190.342
3.533 186.381
3.950 191.825
4.467 191.110
4.983 188.458
5.500 189.620
5.933 191.331
6.350 190.850
6.867 193.152
7.383 191.810
7.817 194.461
8.317 195.422
8.833 190.905
9.350 192.296
9.867 188.084
10.300 192.063
10.817 192.157
11.317 195.392
11.833 193.587
12.350 193.586
12.783 195.663
13.300 191.476
13.800 193.891
14.317 192.305
14.833 191.105
15.250 189.706
15.767 192.892
16.283 193.107
16.800 191.968
17.233 193.125
17.733 196.232
18.250 193.441
18.767 195.165
19.283 193.221
