i value
0.000 0.726
0.533 0.843
1.050 0.958
1.567 0.958
2.083 0.961
2.600 0.963
3.117 0.962
3.550 0.958
4.050 0.963
4.567 0.962
5.083 0.966
5.600 0.960
6.117 0.963
6.550 0.960
7.050 0.961
7.567 0.957
8.083 0.961
8.517 0.954
8.933 0.955
9.450 0.967
9.967 0.956
10.483 0.970
10.917 0.960
11.417 0.956
11.933 0.963
12.450 0.966
12.967 0.961
13.400 0.962
13.900 0.963
14.417 0.957
14.933 0.964
15.367 0.952
15.867 0.958
16.383 0.963
16.900 0.960
17.333 0.960
17.833 0.964
18.350 0.962
18.867 0.962
19.300 0.967
