i value
0.000 800.000
0.350 800.000
0.600 800.000
0.683 800.000
0.950 800.000
1.117 800.000
1.200 800.000
1.467 800.000
1.550 800.000
1.717 800.000
1.800 800.000
2.067 800.000
3.700 800.000
4.033 800.000
4.383 800.000
4.467 800.000
4.733 800.000
4.817 800.000
5.067 800.000
5.150 800.000
5.417 800.000
5.500 800.000
5.750 800.000
5.833 800.000
6.100 800.000
6.183 800.000
6.433 800.000
6.517 800.000
6.783 800.000
6.867 800.000
7.117 800.000
7.467 800.000
7.817 800.000
8.150 800.000
8.500 800.000
8.833 800.000
9.183 800.000
9.517 800.000
9.867 800.000
10.200 800.000
10.550 800.000
10.900 800.000
11.233 800.000
11.583 800.000
11.917 800.000
12.267 800.000
12.600 800.000
12.950 800.000
13.283 800.000
13.633 800.000
13.983 800.000
14.317 800.000
14.667 800.000
15.000 800.000
15.350 800.000
15.700 800.000
16.033 800.000
16.383 800.000
16.717 800.000
17.067 800.000
17.400 800.000
17.750 800.000
18.083 800.000
18.433 800.000
18.783 800.000
19.117 800.000
19.467 800.000
19.800 800.000
20.150 800.000
20.500 800.000
20.833 800.000
21.183 800.000
21.533 800.000
21.867 800.000
22.217 800.000
22.550 800.000
22.900 800.000
23.233 800.000
23.583 800.000
23.933 800.000
24.267 800.000
24.617 800.000
24.967 800.000
25.300 800.000
25.650 800.000
26.000 800.000
26.333 800.000
26.683 800.000
27.017 800.000
27.367 800.000
27.717 800.000
28.050 800.000
28.400 800.000
28.733 800.000
29.083 800.000
29.433 800.000
29.767 800.000
30.117 800.000
30.467 800.000
30.800 800.000
31.150 800.000
31.500 800.000
31.833 800.000
32.183 800.000
32.533 800.000
32.867 800.000
33.217 800.000
33.567 800.000
33.917 800.000
34.250 800.000
34.600 800.000
34.950 800.000
35.300 800.000
35.717 800.000
36.067 800.000
36.417 800.000
36.767 800.000
37.100 800.000
37.433 800.000
37.783 800.000
38.133 800.000
38.483 800.000
38.817 800.000
39.167 800.000
39.617 800.000
40.033 800.000
40.367 800.000
40.817 800.000
41.233 800.000
41.583 800.000
42.000 800.000
42.433 800.000
42.867 800.000
43.300 800.000
43.733 800.000
44.167 800.000
44.600 800.000
45.017 800.000
45.450 800.000
45.883 800.000
46.317 800.000
46.733 800.000
47.167 800.000
47.600 800.000
48.033 800.000
48.467 800.000
48.883 800.000
49.417 800.000
49.917 800.000
50.467 800.000
50.950 800.000
51.483 800.000
51.917 800.000
52.317 800.000
52.483 800.000
52.800 800.000
53.033 800.000
53.233 800.000
53.467 800.000
53.667 800.000
53.900 800.000
54.083 800.000
54.317 800.000
54.517 800.000
54.900 800.000
55.067 800.000
55.333 800.000
55.500 800.000
55.750 800.000
55.950 800.000
56.217 800.000
56.450 800.000
56.800 800.000
57.000 800.000
57.233 800.000
57.433 800.000
57.650 800.000
57.850 800.000
58.083 800.000
58.283 800.000
58.517 800.000
58.717 800.000
59.100 800.000
59.267 800.000
59.633 800.000
