i value
0.000 0.920
0.350 0.920
0.700 0.920
1.117 0.920
1.467 0.920
1.800 0.920
2.417 0.920
2.750 0.920
3.100 0.920
3.700 0.920
4.033 0.920
4.383 0.920
4.733 0.920
5.067 0.920
5.417 0.920
5.750 0.920
6.100 0.920
6.433 0.920
6.783 0.920
7.133 0.920
7.467 0.920
7.817 0.920
8.150 0.920
8.500 0.920
8.833 0.920
9.183 0.920
9.517 0.920
9.867 0.920
10.200 0.920
10.550 0.920
10.900 0.920
11.233 0.920
11.583 0.920
11.917 0.920
12.267 0.920
12.600 0.920
12.950 0.920
13.300 0.920
13.633 0.920
13.983 0.920
14.317 0.920
14.667 0.920
15.000 0.920
15.350 0.920
15.700 0.920
16.033 0.920
16.383 0.920
16.717 0.920
17.067 0.920
17.400 0.920
17.750 0.920
18.100 0.920
18.433 0.920
18.783 0.920
19.117 0.920
19.467 0.920
19.817 0.920
20.150 0.920
20.500 0.920
20.833 0.920
21.183 0.920
21.533 0.920
21.867 0.920
22.217 0.920
22.550 0.920
22.900 0.920
23.250 0.920
23.583 0.920
23.933 0.920
24.283 0.920
24.617 0.920
24.967 0.920
25.317 0.920
25.650 0.920
26.000 0.920
26.333 0.920
26.683 0.920
27.033 0.920
27.367 0.920
27.717 0.920
28.067 0.920
28.400 0.920
28.750 0.920
29.083 0.920
29.433 0.920
29.783 0.920
30.117 0.920
30.467 0.920
30.817 0.920
31.150 0.920
31.500 0.920
31.850 0.920
32.183 0.920
32.533 0.920
32.883 0.920
33.233 0.920
33.567 0.920
33.917 0.920
34.267 0.920
34.617 0.920
34.967 0.920
35.317 0.920
35.733 0.920
36.067 0.920
36.417 0.920
36.917 0.920
37.250 0.920
37.600 0.920
37.950 0.920
38.283 0.920
38.633 0.920
38.983 0.920
39.333 0.920
39.767 0.920
40.200 0.920
40.533 0.920
40.967 0.920
41.400 0.920
41.733 0.920
42.167 0.920
42.600 0.920
43.033 0.920
43.467 0.920
43.883 0.920
44.333 0.920
44.750 0.920
45.183 0.920
45.617 0.920
46.033 0.920
46.467 0.920
46.900 0.920
47.333 0.920
47.767 0.920
48.183 0.920
48.617 0.920
49.050 0.920
49.533 0.920
50.083 0.920
50.567 0.920
51.117 0.920
51.683 0.920
52.117 0.920
52.667 0.920
53.267 0.920
53.683 0.920
54.117 0.920
54.550 0.920
55.100 0.920
55.517 0.920
56.233 0.920
56.833 0.920
57.450 0.920
57.883 0.920
58.317 0.920
58.750 0.920
59.283 0.920
