i value
1 1222.9049862970924
2 1128.3903021885733
3 1080.4117009736
4 1060.8406700660607
5 1249.0780047002006
6 1334.8034628480345
7 1364.0682158575974
8 1346.0394731282809
9 1117.433251819737
10 478.9239085164952
11 550.2559647469018
12 587.5678481533098
13 635.4084827622676
14 718.2963742642336
15 627.4483275536656
16 696.5230078810257
17 739.0052605023374
18 654.9492320798196
19 668.0950241925897
20 654.6341347616959
21 627.4676574735984
22 658.8901732036596
23 680.0064473810817
24 615.6729034713414
25 610.2409948422317
26 624.5556214620076
27 634.6498312656959
28 635.8844385166685
29 690.0309070722802
30 633.3295776047282
31 626.7845310631872
32 626.2667580481391
33 670.7827158557177
34 637.9097125132205
35 667.1026081383578
36 703.9712042341073
37 694.6937829757976
38 627.9837593650878
39 643.6740997575243
40 695.9166898447329
41 596.5146960689945
42 629.4027298895886
43 643.2201172453834
44 628.4892961013074
45 638.8367453382896
46 625.5383444685903
47 613.4357391666733
48 650.0480202996787
49 652.5101085494268
50 709.5922908757465
51 663.4727841092431
52 622.0439069570767
53 618.6473904432919
54 621.3555183759859
55 679.1411673671403
56 681.9251619939228
57 884.3334532170687
58 732.7354743729738
