i value
1 0.9900990099009901
2 0.9693877551020408
3 0.9908256880733946
4 1.0
5 1.0
6 0.9925373134328358
7 0.9925925925925926
8 0.9924242424242424
9 0.993421052631579
10 0.9923954372623575
11 0.9938080495356038
12 0.9715189873417721
13 0.996875
14 0.9967213114754099
15 0.9735973597359736
16 0.996415770609319
17 0.9885496183206107
18 0.9797297297297297
19 0.9888888888888889
20 0.9938461538461538
21 0.9875389408099688
22 0.9963369963369964
23 0.9752650176678446
24 0.9876923076923076
25 0.9851190476190477
26 0.9906542056074766
27 1.0
28 0.9817629179331308
29 0.9962962962962963
30 0.9909365558912386
31 0.987460815047022
32 0.9904761904761905
33 0.9906832298136646
34 0.9868852459016394
35 0.9896551724137931
36 0.9928571428571429
37 0.9936102236421726
38 0.9909365558912386
39 0.9898648648648649
40 0.9890510948905109
41 0.9878419452887538
42 0.9845679012345679
43 0.990625
44 0.9969230769230769
45 0.9878048780487805
46 0.991044776119403
47 0.9940652818991098
48 0.9968652037617555
49 0.9900662251655629
50 0.992619926199262
51 0.99079754601227
52 0.9875389408099688
53 0.9907407407407407
54 0.9935691318327974
55 0.9811320754716981
56 0.9902912621359223
57 0.9901477832512315
58 0.9776951672862454
