i value
1 0.8603090583508846
2 0.8423465423465422
3 0.8893460507860953
4 0.9142348936466583
5 0.8761973323520771
6 0.9607665805340224
7 0.9288364719904496
8 0.9873672772797601
9 0.9792226006812264
10 0.9894091415830547
11 0.9911986863711002
12 0.9839181286549707
13 0.9838307493540053
14 0.9889420520999468
15 0.9829866046431495
16 0.9901777777777778
17 0.9806178635599606
18 0.9877031181379008
19 0.987091156462585
20 0.9887361716392893
21 0.9800841638981175
22 0.9763102232667451
23 0.9850470809792844
24 0.986601292214636
25 0.9850903119868638
26 0.9828042328042329
27 0.9872863247863248
28 0.9781486093814862
29 0.9892320892320893
30 0.9798254561940384
31 0.9799433391281953
32 0.9817615935262994
33 0.9849002849002849
34 0.9833618233618234
35 0.9840133728440088
36 0.9890151515151515
37 0.9778538812785389
38 0.9769654088050315
39 0.9856007480130903
40 0.9791475632535236
41 0.9857612472997089
42 0.9915838150289018
43 0.9875532821824382
44 0.9859777952618236
45 0.9885951165259593
46 0.9813719806763286
47 0.9802020202020203
48 0.9859730013576168
49 0.9866017350020073
50 0.9849447376281988
51 0.9884933877147448
52 0.9857651062736789
53 0.9885617351266207
54 0.9792230467044959
55 0.9865790126519475
56 0.9839528497756347
57 0.9845887445887447
58 0.9894054663285433
59 0.9819744813348226
60 0.9864718614718615
