i value
1 1318.95450492973
2 1296.5651132662308
3 1309.516516939557
4 1293.7378501556939
5 1201.6496151643164
6 1107.8658000923097
7 1198.2722094724832
8 1300.662234149211
9 1177.3337629339335
10 1239.6860306551657
11 1134.576981586015
12 1661.0045679526459
13 1368.1264914584299
14 1425.594974410994
15 1515.7323191742441
16 1477.5122250868358
17 709.8584741132383
18 749.668157506345
19 643.2193555275384
20 625.9122732643353
21 661.4536022689532
22 655.1941429319778
23 658.2403009987437
24 645.6787030360376
25 621.0938470651338
26 680.5882377329475
27 697.4362147605243
28 629.0008498200461
