i value
2.067 190.474
2.567 189.468
3.083 189.065
3.600 189.728
4.117 189.838
4.550 189.524
5.050 190.146
5.567 191.437
6.083 190.035
6.500 190.308
7.017 190.747
7.533 189.770
7.967 188.353
8.383 188.498
8.900 188.373
9.433 190.819
9.933 190.405
10.450 190.320
10.967 191.926
11.400 192.083
11.900 190.284
12.417 190.531
12.933 190.185
13.367 188.547
13.867 188.947
14.900 188.031
15.400 188.871
15.917 188.644
16.333 188.584
16.850 187.606
17.350 187.606
17.867 186.917
18.383 188.627
18.883 189.738
