i value
0.000 500.000
0.517 500.000
1.033 500.000
1.533 500.000
2.067 500.000
2.567 500.000
3.083 500.000
3.600 500.000
4.117 500.000
4.550 500.000
5.050 500.000
5.567 500.000
6.083 500.000
6.500 500.000
7.017 500.000
7.533 500.000
7.967 500.000
8.383 500.000
8.900 500.000
9.433 500.000
9.933 500.000
10.450 500.000
10.967 500.000
11.400 500.000
11.900 500.000
12.417 500.000
12.933 500.000
13.367 500.000
13.867 500.000
14.900 500.000
15.400 500.000
15.917 500.000
16.333 500.000
16.850 500.000
17.350 500.000
17.867 500.000
18.383 500.000
18.883 500.000
