i value
0.000 194.103
0.517 192.071
1.033 189.738
1.533 188.286
2.067 188.174
2.567 189.070
3.083 190.057
3.600 193.051
4.117 188.838
4.550 186.606
5.050 192.178
5.567 196.512
6.083 186.044
6.500 190.201
7.017 188.802
7.533 187.290
7.967 189.429
8.383 186.769
8.900 189.575
9.433 201.030
9.933 185.221
10.450 189.003
10.967 194.803
11.400 190.360
11.900 192.032
12.417 186.455
12.933 187.274
13.367 186.613
13.867 192.360
14.900 187.453
15.400 190.655
15.917 186.138
16.333 186.312
16.850 187.474
17.350 187.452
17.867 187.208
18.383 194.688
18.883 191.870
