i value
0.000 500.000
0.517 500.000
1.033 500.000
1.550 500.000
2.067 500.000
2.567 500.000
3.083 500.000
3.600 500.000
4.117 500.000
4.800 500.000
5.233 500.000
5.733 500.000
6.250 500.000
6.767 500.000
7.283 500.000
7.800 500.000
8.300 500.000
8.817 500.000
9.333 500.000
9.850 500.000
10.367 500.000
10.883 500.000
11.400 500.000
11.917 500.000
12.417 500.000
12.933 500.000
13.450 500.000
13.967 500.000
14.900 500.000
15.417 500.000
15.917 500.000
16.433 500.000
16.933 500.000
17.450 500.000
17.950 500.000
18.467 500.000
18.983 500.000
