i value
0.000 90.000
0.533 90.000
1.050 90.000
1.550 90.000
2.067 90.000
2.583 90.000
3.100 90.000
3.617 90.000
4.133 90.000
4.550 90.000
5.067 90.000
5.583 90.000
6.100 90.000
6.517 90.000
7.033 90.000
7.550 90.000
7.983 90.000
8.400 90.000
8.917 90.000
9.433 90.000
9.950 90.000
10.467 90.000
10.900 90.000
11.400 90.000
11.917 90.000
12.433 90.000
12.867 90.000
13.367 90.000
13.883 90.000
14.917 90.000
15.417 90.000
15.933 90.000
16.350 90.000
16.867 90.000
17.367 90.000
17.883 90.000
18.383 90.000
18.900 90.000
