i value
0.000 190.782
0.517 190.258
0.950 189.032
1.467 188.333
1.983 189.373
2.517 192.437
3.033 189.381
3.533 189.919
4.050 189.785
4.567 191.077
5.000 187.386
5.500 189.525
6.017 187.228
6.533 188.783
6.967 189.395
7.467 184.565
7.983 187.036
8.500 189.018
8.933 190.936
9.450 185.374
9.950 187.697
10.467 188.409
10.983 193.193
11.500 192.686
12.017 190.535
12.517 188.502
13.033 187.960
13.550 189.074
14.067 193.434
14.583 192.989
15.100 191.709
15.600 185.089
16.117 189.921
16.633 188.037
17.150 191.477
17.667 188.169
18.167 190.499
18.683 189.490
19.200 190.748
