i value
0.000 800.000
0.517 800.000
1.033 800.000
1.550 800.000
2.083 800.000
2.600 800.000
3.117 800.000
3.533 800.000
4.050 800.000
4.567 800.000
5.083 800.000
5.600 800.000
6.100 800.000
6.617 800.000
7.133 800.000
7.650 800.000
8.167 800.000
8.683 800.000
9.183 800.000
9.700 800.000
10.217 800.000
10.733 800.000
11.250 800.000
11.767 800.000
12.267 800.000
12.783 800.000
13.300 800.000
13.817 800.000
14.333 800.000
14.850 800.000
15.350 800.000
15.867 800.000
16.383 800.000
16.900 800.000
17.417 800.000
17.933 800.000
18.433 800.000
18.950 800.000
