i value
0.000 0.900
0.517 0.900
0.950 0.900
1.467 0.900
1.983 0.900
2.517 0.900
2.933 0.900
3.450 0.900
3.967 0.900
4.483 0.900
4.900 0.900
5.417 0.900
5.933 0.900
6.450 0.900
6.883 0.900
7.383 0.900
7.900 0.900
8.417 0.900
8.850 0.900
9.350 0.900
9.867 0.900
10.383 0.900
10.817 0.900
10.900 0.900
11.317 0.900
11.417 0.900
11.833 0.900
11.933 0.900
12.350 0.900
12.433 0.900
12.867 0.900
12.950 0.900
13.383 0.900
13.467 0.900
13.900 0.900
13.983 0.900
14.417 0.900
14.500 0.900
14.917 0.900
15.000 0.900
15.433 0.900
15.517 0.900
15.950 0.900
16.033 0.900
16.467 0.900
16.550 0.900
16.983 0.900
17.067 0.900
17.483 0.900
17.567 0.900
18.000 0.900
18.083 0.900
18.517 0.900
18.600 0.900
19.033 0.900
19.117 0.900
