i value
0.000 500.000
0.517 500.000
0.950 500.000
1.383 500.000
1.817 500.000
2.333 500.000
2.767 500.000
3.283 500.000
3.817 500.000
4.317 500.000
4.850 500.000
5.367 500.000
5.900 500.000
6.417 500.000
6.950 500.000
7.467 500.000
7.983 500.000
8.417 500.000
10.317 500.000
10.833 500.000
11.350 500.000
11.867 500.000
12.300 500.000
12.817 500.000
13.333 500.000
13.850 500.000
14.367 500.000
14.883 500.000
15.400 500.000
15.833 500.000
16.350 500.000
16.850 500.000
17.367 500.000
17.883 500.000
18.400 500.000
18.917 500.000
