i value
0.000 0.944
0.517 0.913
1.033 0.942
1.550 0.927
2.067 0.931
2.500 0.962
2.600 0.959
3.117 0.961
3.550 0.928
3.633 0.927
4.067 0.914
4.150 0.916
4.667 0.922
5.550 0.940
5.717 0.931
6.250 0.919
6.767 0.920
7.300 0.934
7.817 0.934
8.333 0.928
9.550 0.922
9.633 0.909
10.150 0.956
10.567 0.935
10.750 0.947
11.000 0.947
11.267 0.959
11.783 0.952
12.133 0.967
12.383 0.976
12.633 0.969
13.150 0.960
13.417 0.953
13.933 0.958
14.450 0.935
14.967 0.911
15.483 0.968
15.833 0.971
16.350 0.981
16.517 0.979
16.950 0.977
17.117 0.979
17.633 0.903
18.150 0.983
18.483 0.986
18.917 0.974
19.000 0.966
19.167 0.959
