i value
0.000 500.000
0.517 500.000
1.033 500.000
1.550 500.000
2.067 500.000
2.600 500.000
3.117 500.000
3.633 500.000
4.150 500.000
4.667 500.000
5.200 500.000
5.717 500.000
6.250 500.000
6.767 500.000
7.300 500.000
7.817 500.000
8.333 500.000
9.800 500.000
10.750 500.000
11.267 500.000
11.783 500.000
12.300 500.000
12.817 500.000
13.333 500.000
13.850 500.000
14.383 500.000
14.883 500.000
15.400 500.000
15.917 500.000
16.433 500.000
16.950 500.000
17.467 500.000
17.967 500.000
18.483 500.000
19.000 500.000
