i value
0.000 0.687
0.517 0.956
0.950 0.955
1.383 0.941
1.817 0.956
2.333 0.953
2.767 0.934
3.283 0.960
3.817 0.925
4.317 0.961
4.850 0.934
5.367 0.944
5.900 0.948
6.417 0.963
6.950 0.947
7.467 0.953
7.900 0.944
8.417 0.960
9.800 0.938
9.883 0.927
10.233 0.947
10.750 0.944
11.083 0.963
11.267 0.963
11.783 0.968
12.300 0.967
12.817 0.943
13.333 0.933
13.850 0.986
14.183 0.986
14.367 0.963
14.717 0.950
14.883 0.911
15.233 0.916
15.400 0.963
15.833 0.943
15.917 0.943
16.333 0.947
16.600 0.943
16.850 0.955
17.017 0.961
17.367 0.959
17.533 0.955
17.883 0.967
18.317 0.963
18.567 0.960
18.817 0.932
19.000 0.935
