i value
0.000 0.900
0.517 0.900
0.950 0.900
1.383 0.900
1.817 0.900
2.333 0.900
2.767 0.900
3.283 0.900
3.817 0.900
4.317 0.900
4.850 0.900
5.367 0.900
5.900 0.900
6.417 0.900
6.950 0.900
7.467 0.900
7.900 0.900
8.417 0.900
9.800 0.900
9.883 0.900
10.233 0.900
10.750 0.900
11.083 0.900
11.267 0.900
11.783 0.900
12.300 0.900
12.817 0.900
13.333 0.900
13.850 0.900
14.183 0.900
14.367 0.900
14.717 0.900
14.883 0.900
15.233 0.900
15.400 0.900
15.833 0.900
15.917 0.900
16.333 0.900
16.600 0.900
16.850 0.900
17.017 0.900
17.367 0.900
17.533 0.900
17.883 0.900
18.317 0.900
18.567 0.900
18.817 0.900
19.000 0.900
