i value
0.000 101.943
0.517 39.026
0.950 34.480
1.383 31.396
1.817 34.941
2.333 33.280
2.767 34.983
3.283 33.282
3.817 34.866
4.317 34.308
4.850 36.418
5.367 35.795
5.900 36.057
6.417 35.436
6.950 32.824
7.467 33.286
7.900 32.822
8.417 34.511
9.800 39.905
9.883 41.121
10.233 42.730
10.750 39.661
11.083 39.493
11.267 39.291
11.783 39.143
12.300 38.855
12.817 39.658
13.333 40.291
13.850 39.870
14.183 35.459
14.367 34.385
14.717 31.586
14.883 32.364
15.233 30.386
15.400 28.197
15.833 29.524
15.917 26.891
16.333 26.171
16.600 29.931
16.850 28.366
17.017 26.950
17.367 27.151
17.533 25.892
17.883 26.298
18.317 27.820
18.567 32.712
18.817 32.086
19.000 28.984
