i value
0.000 800.000
0.517 800.000
0.950 800.000
1.467 800.000
1.983 800.000
2.500 800.000
3.017 800.000
3.533 800.000
4.050 800.000
4.483 800.000
5.000 800.000
5.517 800.000
6.033 800.000
6.533 800.000
7.050 800.000
7.567 800.000
8.083 800.000
8.600 800.000
9.117 800.000
9.633 800.000
10.150 800.000
10.667 800.000
11.183 800.000
11.683 800.000
12.200 800.000
12.717 800.000
13.233 800.000
13.750 800.000
14.267 800.000
14.783 800.000
15.300 800.000
15.817 800.000
16.333 800.000
16.850 800.000
17.350 800.000
17.867 800.000
18.383 800.000
18.900 800.000
