i value
1.983 73.937
2.500 73.440
3.017 74.005
3.450 73.795
3.867 73.575
3.967 74.016
4.383 74.372
4.483 74.248
4.900 74.638
5.000 74.730
5.417 74.415
5.500 74.007
5.933 73.814
6.017 73.208
6.450 72.769
6.533 72.601
6.967 72.624
7.050 72.698
7.400 72.847
7.567 72.980
7.833 73.214
8.083 73.298
8.333 72.844
8.517 72.242
8.850 71.667
9.033 71.325
9.367 71.333
9.533 71.661
9.883 72.453
10.050 73.405
10.400 73.771
10.567 73.487
10.833 73.120
11.083 72.980
11.333 72.558
11.600 72.417
11.850 72.732
12.033 73.107
12.367 73.479
12.533 73.634
12.883 73.562
13.050 73.636
13.317 73.359
13.567 72.667
13.833 72.532
14.083 72.960
14.333 73.115
14.600 72.857
14.850 72.740
15.117 73.047
15.367 73.100
15.633 72.688
15.883 72.905
16.150 73.318
16.400 73.151
16.667 72.722
16.917 72.835
17.183 72.524
17.433 71.651
17.683 71.473
17.950 71.690
18.200 71.411
18.467 71.259
18.717 71.560
18.967 71.635
19.233 71.686
