i value
0.000 90.000
0.433 90.000
0.950 90.000
1.467 90.000
1.983 90.000
2.500 90.000
3.017 90.000
3.450 90.000
3.867 90.000
3.967 90.000
4.383 90.000
4.483 90.000
4.900 90.000
5.000 90.000
5.417 90.000
5.500 90.000
5.933 90.000
6.017 90.000
6.450 90.000
6.533 90.000
6.967 90.000
7.050 90.000
7.400 90.000
7.567 90.000
7.833 90.000
8.083 90.000
8.333 90.000
8.517 90.000
8.850 90.000
9.033 90.000
9.367 90.000
9.533 90.000
9.883 90.000
10.050 90.000
10.400 90.000
10.567 90.000
10.833 90.000
11.083 90.000
11.333 90.000
11.600 90.000
11.850 90.000
12.033 90.000
12.367 90.000
12.533 90.000
12.883 90.000
13.050 90.000
13.317 90.000
13.567 90.000
13.833 90.000
14.083 90.000
14.333 90.000
14.600 90.000
14.850 90.000
15.117 90.000
15.367 90.000
15.633 90.000
15.883 90.000
16.150 90.000
16.400 90.000
16.667 90.000
16.917 90.000
17.183 90.000
17.433 90.000
17.683 90.000
17.950 90.000
18.200 90.000
18.467 90.000
18.717 90.000
18.967 90.000
19.233 90.000
