i value
0.000 500.000
0.517 500.000
1.033 500.000
1.550 500.000
2.067 500.000
2.583 500.000
3.100 500.000
3.617 500.000
4.117 500.000
4.633 500.000
5.150 500.000
5.667 500.000
6.100 500.000
6.600 500.000
7.117 500.000
7.633 500.000
8.150 500.000
8.650 500.000
9.167 500.000
9.683 500.000
10.200 500.000
10.700 500.000
11.217 500.000
11.733 500.000
12.250 500.000
12.767 500.000
13.267 500.000
13.783 500.000
14.300 500.000
14.817 500.000
15.333 500.000
15.850 500.000
16.350 500.000
16.867 500.000
17.383 500.000
17.900 500.000
18.417 500.000
18.917 500.000
