i value
0.000 1.000
0.517 1.000
1.033 1.000
1.550 1.000
2.067 1.000
2.583 1.000
3.100 1.000
3.533 1.000
3.950 1.000
4.467 1.000
4.983 1.000
5.500 1.000
5.933 1.000
6.350 1.000
6.867 1.000
7.383 1.000
7.817 1.000
8.317 1.000
8.833 1.000
9.350 1.000
9.867 1.000
10.300 1.000
10.817 1.000
11.317 1.000
11.833 1.000
12.350 1.000
12.783 1.000
13.300 1.000
13.800 1.000
14.317 1.000
14.833 1.000
15.250 0.998
15.767 1.000
16.283 1.000
16.800 1.000
17.233 1.000
17.733 1.000
18.250 1.000
18.767 1.000
19.283 1.000
