i value
0.000 500.000
0.517 500.000
1.050 500.000
1.567 500.000
2.083 500.000
2.583 500.000
3.100 500.000
3.617 500.000
4.050 500.000
4.567 500.000
5.067 500.000
5.583 500.000
6.100 500.000
6.617 500.000
7.050 500.000
7.550 500.000
8.067 500.000
8.583 500.000
9.100 500.000
9.617 500.000
10.133 500.000
10.650 500.000
11.150 500.000
11.667 500.000
12.183 500.000
12.700 500.000
13.217 500.000
13.733 500.000
14.233 500.000
14.750 500.000
15.267 500.000
15.783 500.000
16.300 500.000
16.817 500.000
17.333 500.000
17.833 500.000
18.350 500.000
18.867 500.000
19.383 500.000
