i value
1.467 192.027
1.800 192.021
2.400 191.753
2.750 191.890
3.100 192.713
3.700 193.186
4.033 192.557
4.383 194.522
4.633 195.437
4.983 195.996
5.233 196.634
5.583 196.888
5.917 195.878
6.267 195.732
6.517 195.264
6.867 194.600
7.117 195.107
7.467 195.741
7.717 195.159
8.067 195.775
8.317 196.083
8.667 196.214
9.000 195.341
9.350 196.165
9.600 196.116
9.950 195.517
10.283 195.490
10.633 195.463
10.967 196.265
11.317 195.673
11.567 197.446
11.917 196.367
12.167 196.254
12.517 195.795
12.767 196.328
13.117 195.188
13.450 195.441
13.800 196.092
14.050 195.486
14.400 195.244
14.733 195.326
15.083 195.926
15.333 196.261
15.683 196.057
16.017 195.185
16.367 194.884
16.617 194.624
16.967 193.548
17.300 194.388
17.650 195.671
17.900 195.653
18.250 195.812
18.600 195.488
18.933 194.729
19.283 194.368
19.617 193.485
19.967 193.207
20.300 193.667
20.650 192.689
20.983 191.960
21.333 192.341
21.583 192.907
21.933 193.143
22.283 194.352
22.617 194.145
22.967 194.818
23.300 195.046
23.650 194.908
24.000 195.121
24.333 195.740
24.683 195.607
25.017 194.539
25.367 195.605
25.700 195.728
26.050 196.368
26.383 195.611
26.733 195.335
27.083 193.797
27.417 193.032
27.767 192.819
28.100 192.937
28.450 194.227
28.783 194.781
29.133 195.855
29.483 195.416
29.817 195.203
30.167 196.148
30.500 196.897
30.850 196.201
31.200 197.320
31.533 198.051
31.883 197.305
32.217 197.331
32.567 197.793
32.917 197.385
33.250 197.785
33.600 196.778
33.950 196.010
34.283 195.812
34.633 194.185
34.983 194.077
35.417 194.729
35.750 194.486
36.100 193.482
36.450 194.704
36.867 195.124
37.217 194.351
37.550 194.389
37.900 195.438
38.250 195.129
38.583 194.903
38.933 196.161
39.283 196.482
39.717 196.278
40.150 196.507
40.483 196.492
40.917 194.455
41.350 194.093
41.683 193.961
42.117 193.465
42.550 193.780
42.967 194.752
43.400 195.709
43.833 195.242
44.267 194.984
44.700 193.710
45.117 193.821
45.550 192.736
45.983 193.253
46.400 193.984
46.833 194.479
47.267 194.688
47.683 194.201
48.117 194.117
48.550 194.284
48.967 194.176
49.317 194.861
49.650 195.547
50.000 195.446
50.350 196.194
50.683 196.125
51.033 195.125
51.367 195.528
51.800 195.068
52.233 194.037
52.567 194.403
52.917 195.092
53.350 195.782
53.783 197.207
54.200 197.947
54.633 198.666
54.983 198.267
55.400 197.426
55.850 200.636
56.350 199.404
56.683 198.662
57.117 198.458
57.550 198.322
57.967 192.873
58.400 193.190
58.833 192.695
59.183 191.698
59.517 191.027
