i value
0.000 0.870
0.350 0.870
0.600 0.870
0.683 0.870
0.950 0.870
1.117 0.870
1.200 0.870
1.467 0.870
1.550 0.870
1.717 0.870
1.800 0.870
2.067 0.870
3.700 0.870
4.033 0.870
4.383 0.870
4.467 0.870
4.733 0.870
4.817 0.870
5.067 0.870
5.150 0.870
5.417 0.870
5.500 0.870
5.750 0.870
5.833 0.870
6.100 0.870
6.183 0.870
6.433 0.870
6.517 0.870
6.783 0.870
6.867 0.870
7.117 0.870
7.467 0.870
7.817 0.870
8.150 0.870
8.500 0.870
8.833 0.870
9.183 0.870
9.517 0.870
9.867 0.870
10.200 0.870
10.550 0.870
10.900 0.870
11.233 0.870
11.583 0.870
11.917 0.870
12.267 0.870
12.600 0.870
12.950 0.870
13.283 0.870
13.633 0.870
13.983 0.870
14.317 0.870
14.667 0.870
15.000 0.870
15.350 0.870
15.700 0.870
16.033 0.870
16.383 0.870
16.717 0.870
17.067 0.870
17.400 0.870
17.750 0.870
18.083 0.870
18.433 0.870
18.783 0.870
19.117 0.870
19.467 0.870
19.800 0.870
20.150 0.870
20.500 0.870
20.833 0.870
21.183 0.870
21.533 0.870
21.867 0.870
22.217 0.870
22.550 0.870
22.900 0.870
23.233 0.870
23.583 0.870
23.933 0.870
24.267 0.870
24.617 0.870
24.967 0.870
25.300 0.870
25.650 0.870
26.000 0.870
26.333 0.870
26.683 0.870
27.017 0.870
27.367 0.870
27.717 0.870
28.050 0.870
28.400 0.870
28.733 0.870
29.083 0.870
29.433 0.870
29.767 0.870
30.117 0.870
30.467 0.870
30.800 0.870
31.150 0.870
31.500 0.870
31.833 0.870
32.183 0.870
32.533 0.870
32.867 0.870
33.217 0.870
33.567 0.870
33.917 0.870
34.250 0.870
34.600 0.870
34.950 0.870
35.300 0.870
35.717 0.870
36.067 0.870
36.417 0.870
36.767 0.870
37.100 0.870
37.433 0.870
37.783 0.870
38.133 0.870
38.483 0.870
38.817 0.870
39.167 0.870
39.617 0.870
40.033 0.870
40.367 0.870
40.817 0.870
41.233 0.870
41.583 0.870
42.000 0.870
42.433 0.870
42.867 0.870
43.300 0.870
43.733 0.870
44.167 0.870
44.600 0.870
45.017 0.870
45.450 0.870
45.883 0.870
46.317 0.870
46.733 0.870
47.167 0.870
47.600 0.870
48.033 0.870
48.467 0.870
48.883 0.870
49.417 0.870
49.917 0.870
50.467 0.870
50.950 0.870
51.483 0.870
51.917 0.870
52.317 0.870
52.483 0.870
52.800 0.870
53.033 0.870
53.233 0.870
53.467 0.870
53.667 0.870
53.900 0.870
54.083 0.870
54.317 0.870
54.517 0.870
54.900 0.870
55.067 0.870
55.333 0.870
55.500 0.870
55.750 0.870
55.950 0.870
56.217 0.870
56.450 0.870
56.800 0.870
57.000 0.870
57.233 0.870
57.433 0.870
57.650 0.870
57.850 0.870
58.083 0.870
58.283 0.870
58.517 0.870
58.717 0.870
59.100 0.870
59.267 0.870
59.633 0.870
