i value
0.000 1193.089
0.350 1200.361
0.600 1283.872
0.683 1226.723
0.950 1161.099
1.117 668.285
1.200 612.108
1.467 578.727
1.550 694.890
1.717 547.774
1.800 563.403
2.067 557.862
3.700 274.816
4.033 601.464
4.383 639.106
4.467 583.274
4.733 545.041
4.817 539.500
5.067 541.493
5.150 545.010
5.417 527.073
5.500 521.985
5.750 554.747
5.833 555.367
6.100 532.312
6.183 534.571
6.433 524.082
6.517 522.807
6.783 592.833
6.867 591.199
7.117 559.104
7.467 557.261
7.817 614.711
8.150 521.767
8.500 503.763
8.833 568.150
9.183 539.122
9.517 578.201
9.867 538.921
10.200 570.844
10.550 532.304
10.900 481.957
11.233 550.162
11.583 516.355
11.917 542.513
12.267 523.743
12.600 505.607
12.950 541.175
13.283 582.874
13.633 526.577
13.983 541.668
14.317 533.934
14.667 531.173
15.000 611.974
15.350 488.904
15.700 522.030
16.033 539.554
16.383 518.843
16.717 558.594
17.067 543.934
17.400 530.360
17.750 554.238
18.083 557.375
18.433 586.420
18.783 529.677
19.117 519.439
19.467 547.136
19.800 529.497
20.150 503.248
20.500 457.282
20.833 558.636
21.183 541.979
21.533 519.505
21.867 506.103
22.217 499.147
22.550 501.038
22.900 575.401
23.233 515.959
23.583 521.908
23.933 548.176
24.267 577.544
24.617 543.252
24.967 653.750
25.300 561.376
25.650 523.727
26.000 546.832
26.333 576.352
26.683 563.780
27.017 562.432
27.367 524.767
27.717 554.586
28.050 579.137
28.400 544.870
28.733 581.456
29.083 590.731
29.433 555.151
29.767 555.704
30.117 511.691
30.467 613.626
30.800 518.201
31.150 487.775
31.500 544.415
31.833 585.473
32.183 555.383
32.533 559.581
32.867 533.850
33.217 540.023
33.567 575.740
33.917 493.137
34.250 600.378
34.600 574.285
34.950 548.113
35.300 521.673
35.717 615.121
36.067 554.164
36.417 516.678
36.767 481.057
37.100 538.982
37.433 558.314
37.783 602.607
38.133 592.233
38.483 498.523
38.817 525.438
39.167 490.847
39.617 569.975
40.033 510.843
40.367 527.298
40.817 609.368
41.233 493.766
41.583 652.445
42.000 536.817
42.433 497.431
42.867 566.051
43.300 556.721
43.733 532.614
44.167 556.163
44.600 533.994
45.017 562.775
45.450 541.449
45.883 527.130
46.317 586.793
46.733 579.739
47.167 503.620
47.600 568.834
48.033 540.143
48.467 500.423
48.883 535.639
49.417 570.150
49.917 609.143
50.467 476.214
50.950 541.033
51.483 544.427
51.917 534.056
52.317 579.230
52.483 538.932
52.800 483.388
53.033 560.730
53.233 559.865
53.467 550.877
53.667 560.904
53.900 562.106
54.083 565.557
54.317 577.891
54.517 570.573
54.900 465.357
55.067 470.738
55.333 519.358
55.500 523.206
55.750 512.504
55.950 522.263
56.217 429.699
56.450 421.561
56.800 3183.137
57.000 3177.396
57.233 416.753
57.433 414.435
57.650 388.401
57.850 351.489
58.083 371.784
58.283 411.469
58.517 414.612
58.717 425.718
59.100 403.030
59.267 375.496
59.633 338.099
