i value
1.200 68.005
1.550 68.005
1.800 68.005
2.400 68.005
2.750 68.005
3.100 30.165
4.033 30.165
4.383 30.165
4.633 30.165
4.983 30.165
5.233 2.468
5.583 2.462
5.833 2.417
6.183 2.392
6.517 2.410
6.867 2.431
7.117 2.424
7.467 2.379
7.717 2.317
8.067 2.462
8.317 2.429
8.667 2.445
9.000 2.423
9.350 2.506
9.600 2.318
9.950 2.320
10.283 2.293
10.633 2.297
10.883 2.230
11.233 2.232
11.567 2.266
11.917 2.288
12.167 2.348
12.517 2.370
12.850 2.412
13.200 2.404
13.450 2.411
13.800 2.384
14.050 2.396
14.400 2.383
14.733 2.375
15.083 2.478
15.333 2.465
15.683 2.424
16.017 2.385
16.367 2.369
16.617 2.209
16.967 2.179
17.300 2.204
17.650 2.213
17.900 2.212
18.250 2.253
18.583 2.266
18.933 2.248
19.183 2.252
19.533 2.251
19.783 2.253
20.133 2.258
20.467 2.314
20.817 2.321
21.067 2.326
21.417 2.355
21.667 2.454
22.017 2.444
22.367 2.451
22.700 2.481
23.050 2.443
23.383 2.398
23.733 2.407
23.983 2.476
24.333 2.487
24.583 2.543
24.933 2.473
25.267 2.460
25.617 2.433
25.967 2.427
26.300 2.372
26.650 2.376
26.983 2.371
27.333 2.352
27.667 2.287
28.017 2.258
28.367 2.246
28.700 2.208
29.050 2.146
29.383 2.152
29.733 2.152
30.067 2.289
30.417 2.301
30.767 2.348
31.100 2.480
31.450 2.545
31.783 2.450
32.133 2.522
32.483 2.517
32.817 2.499
33.167 2.464
33.517 2.718
33.850 2.714
34.200 2.922
34.550 2.900
34.883 2.954
35.233 2.753
35.583 2.762
35.917 2.642
36.267 2.631
36.600 2.664
36.950 2.765
37.300 2.728
37.633 2.651
37.983 2.666
38.333 2.634
38.667 2.548
39.017 2.640
39.350 2.731
39.700 2.878
40.133 2.857
40.467 2.772
40.900 2.717
41.333 2.608
41.667 2.419
42.100 2.431
42.533 2.500
42.967 2.463
43.383 2.508
43.817 2.550
44.250 2.589
44.683 2.685
45.100 2.725
45.533 2.783
45.950 2.760
46.383 2.711
46.817 2.650
47.233 2.588
47.667 2.471
48.100 2.494
48.533 2.598
48.950 2.552
49.300 2.572
49.633 2.601
49.983 2.656
50.317 2.620
50.667 2.599
51.000 2.697
51.350 2.741
51.783 2.681
52.200 2.734
52.550 2.728
52.900 2.721
53.317 2.933
53.750 2.968
54.183 2.866
54.600 2.907
54.950 2.851
55.383 2.650
55.817 2.897
56.317 3.213
56.667 3.505
57.100 3.773
57.517 4.113
57.950 4.234
58.383 4.247
58.800 4.218
59.150 4.180
59.500 4.016
