i value
5 192.39708546434366
6 190.26629529614186
7 188.98760900162043
8 187.24636462295737
9 186.39176922050123
10 186.88361314855106
11 188.46114082412473
12 188.61736493321564
13 189.17477019578192
14 189.1691759406623
15 188.89522350950008
16 187.2377110291737
17 187.13016619814107
18 186.5188586606369
19 186.83312358242316
20 186.4487572219673
21 186.7821604056976
22 186.41508647188266
23 186.16250408656705
24 186.13201239317024
25 185.7126854230351
26 185.0238888033918
27 185.08455865457728
28 186.59497521356147
29 186.82474212947568
30 189.0322529779899
31 189.93916557830488
32 190.84409175642978
33 189.94560347019893
34 189.7623591618839
35 188.41144930022412
36 187.90835819978938
37 187.30787238572694
38 187.08305575227467
39 187.51664913516262
40 186.59179930106342
41 186.63320516856862
42 186.02947765354034
43 186.20582362833687
44 185.76169638036936
45 186.80049305788307
46 186.7414645170374
47 187.29667060873
48 186.75496656202913
49 187.32203361940643
50 186.23482147758017
51 186.6277926724082
52 186.7681687743228
53 187.2006336262272
54 186.79590198968285
55 187.17152887859808
56 186.84545676950665
57 186.85496652296732
58 186.82155841843223
59 187.78242548933443
60 187.96293365061754
