i value
1 1199.854244189651
2 1211.1105795415756
3 1316.648187268656
4 1241.2266650781191
5 1177.314841598622
6 1472.980963832592
7 1429.2570625099206
8 701.8943749849182
9 721.7777611115941
10 673.6709069983476
11 575.677959970755
12 685.1153794620155
13 632.3260610115524
14 664.6060490323446
15 742.0612824771583
16 655.7697319236272
17 651.4810834010852
18 610.8160599072445
19 653.9143538548902
20 663.1729789606043
21 650.9844875270775
22 598.6323411264467
23 619.5033115471498
24 643.869113212565
25 637.5999475836504
26 616.4057992419757
27 682.0857910820066
28 658.7224088589112
29 652.2286069140832
30 658.1078304780742
31 647.7201551026982
32 657.3643476705238
33 673.422049633719
34 592.4337837680754
35 664.9257647323271
36 645.900458631412
37 668.7699756339333
38 670.5078547226332
39 655.1534957377254
40 674.4806742418646
41 626.8857134364401
42 650.2579250842344
43 642.1011929176334
44 650.8554363045117
45 663.5059762346366
46 648.3634939727215
47 653.7593544757403
48 627.4074446740988
49 638.4663232036755
50 626.6208361928049
51 636.7927608934704
52 614.0857563166403
53 641.180987696574
54 640.2676078815596
55 690.8876587762466
56 689.53688631474
57 642.8661364286328
58 698.8013892965644
59 661.1893618730122
60 620.3727931493263
