i value
1 440.7526279268293
2 440.882127
3 455.5344085250001
4 440.35507917021334
5 449.95783961818194
6 437.08980496503517
7 438.86610161904815
8 467.077003285714
9 443.7149653476563
10 438.26461899250944
11 443.4976271541505
12 440.46781331818164
13 439.41246918727836
14 452.0808010289257
15 446.73492430067523
16 440.4666106026935
17 441.2906037321442
18 442.01018334267883
19 442.5852929704914
20 439.2501461716868
21 442.65806387458764
22 443.60793222956005
23 441.40626338036714
24 445.16735739215716
25 442.23476894832805
26 440.3886635608968
27 437.13370949517594
28 443.1027051061092
29 444.4641023624589
30 445.34431304153316
31 444.32896670731895
32 441.67629131186374
33 443.56131043030285
34 440.6581137077943
35 440.93904326837094
36 446.6817627318838
37 443.99159968350244
38 442.09129565579656
39 441.3834354318225
40 438.9228412424236
41 441.2903966137101
42 442.70767356774377
43 440.57275045015984
44 441.0958784839861
45 441.6261983729358
46 442.67613441042346
47 442.72670746788907
48 442.41185651083504
49 442.19949012225766
50 440.81121066554033
51 442.1081623395094
52 441.041120037151
53 441.7558109772742
54 444.87130791636355
55 438.2127872549022
56 447.2596331943574
57 441.50734329605353
58 443.4454821423962
59 440.28586383153913
