i value
5 0.8521193455787521
6 0.8521193455787521
7 0.8521193455787521
8 0.8521193455787521
9 0.8521193455787521
10 0.8972440558315947
11 0.8972440558315947
12 0.8972440558315947
13 0.8972440558315947
14 0.8972440558315947
15 0.8972440558315947
16 0.9611199636686054
17 0.9611199636686054
18 0.9611199636686054
19 0.9611199636686054
20 0.9611199636686054
21 0.9834142675478607
22 0.9827473007104282
23 0.9830878109082617
24 0.9824750998310747
25 0.9827664634911976
26 0.9831416960528678
27 0.9834667368422505
28 0.9841097974853111
