i value
1 0.9920318725099602
2 0.9918367346938776
3 0.981651376146789
4 0.9957805907172996
5 0.9823788546255506
6 0.992619926199262
7 0.9884169884169884
8 0.996309963099631
9 1.0
10 0.9937238493723849
11 0.9770867430441899
12 0.9875222816399287
13 0.9832775919732442
14 0.9910233393177738
15 0.9888
16 0.987410071942446
17 0.9772727272727273
18 0.9917081260364843
19 0.9871323529411765
20 0.9871086556169429
21 0.9926062846580407
22 0.9900793650793651
23 0.9962962962962963
24 0.9893048128342246
25 0.9864077669902913
26 0.9905838041431262
27 0.9943074003795066
28 0.9921414538310412
29 0.9878892733564014
30 0.9869888475836431
31 0.9857142857142858
