i value
1 71.43681684290199
2 68.34511852441784
3 65.77951243649737
4 65.81258557217093
5 67.32084899379616
6 25.855929295305607
7 24.14067804070018
8 24.457253665001673
9 24.80430512088885
10 27.831041768847854
11 2.4085625441496297
12 2.65143078310783
13 2.731780809789614
14 2.2201750800925897
15 2.2677076190273002
16 2.2990565192724137
17 2.374324879963486
18 2.2461406188911686
19 2.261052577043322
20 2.5123132722727286
21 2.0963638059225542
22 2.219707925592414
23 2.192012896800355
24 2.498713268947599
25 2.2384773889943133
26 2.168238237870933
27 2.4024177529680357
28 2.193500816365359
29 2.3347293466051973
30 2.2896553363249907
31 2.1864663336214396
