i value
0.000 0.698
0.517 0.700
0.950 0.703
1.467 0.694
1.983 0.709
2.517 0.689
2.933 0.707
3.450 0.710
3.967 0.687
4.483 0.713
4.900 0.707
5.417 0.704
5.933 0.696
6.450 0.703
6.883 0.695
7.383 0.705
7.900 0.707
8.417 0.708
8.850 0.708
9.350 0.704
9.867 0.711
10.383 0.722
10.817 0.706
10.900 0.710
11.317 0.707
11.417 0.701
11.833 0.715
11.933 0.714
12.350 0.706
12.433 0.707
12.867 0.695
12.950 0.687
13.383 0.690
13.467 0.690
13.900 0.703
13.983 0.727
14.417 0.729
14.500 0.727
14.917 0.724
15.000 0.715
15.433 0.716
15.517 0.712
15.950 0.696
16.033 0.699
16.467 0.729
16.550 0.729
16.983 0.711
17.067 0.715
17.483 0.709
17.567 0.702
18.000 0.708
18.083 0.715
18.517 0.700
18.600 0.696
19.033 0.709
19.117 0.712
