i value
0.000 90.000
0.517 90.000
0.950 90.000
1.383 90.000
1.817 90.000
2.333 90.000
2.767 90.000
3.283 90.000
3.817 90.000
4.317 90.000
4.850 90.000
5.367 90.000
5.900 90.000
6.417 90.000
6.950 90.000
7.467 90.000
7.900 90.000
8.417 90.000
9.800 90.000
9.883 90.000
10.233 90.000
10.750 90.000
11.083 90.000
11.267 90.000
11.783 90.000
12.300 90.000
12.817 90.000
13.333 90.000
13.850 90.000
14.183 90.000
14.367 90.000
14.717 90.000
14.883 90.000
15.233 90.000
15.400 90.000
15.833 90.000
15.917 90.000
16.333 90.000
16.600 90.000
16.850 90.000
17.017 90.000
17.367 90.000
17.533 90.000
17.883 90.000
18.317 90.000
18.567 90.000
18.817 90.000
19.000 90.000
