i value
0.000 77.412
0.533 72.572
1.050 74.154
1.550 74.384
2.067 72.349
2.583 41.892
3.100 42.704
3.617 42.995
4.133 42.772
4.550 41.905
5.067 24.734
5.583 20.065
6.100 18.215
6.517 18.208
7.033 18.129
7.550 17.995
7.983 18.197
8.400 17.963
8.917 17.835
9.433 18.042
9.950 18.181
10.467 18.119
10.900 18.773
11.400 17.944
11.917 17.777
12.433 17.773
12.867 17.681
13.367 18.545
13.883 19.277
14.917 23.256
15.417 21.381
15.933 17.574
16.350 17.491
16.867 17.893
17.367 17.410
17.883 18.036
18.383 17.780
18.900 17.650
