i value
0.950 0.858
1.117 0.858
1.200 0.858
1.467 0.858
1.550 0.858
1.717 0.858
1.800 0.858
2.067 0.855
3.700 0.855
4.033 0.855
4.383 0.855
4.467 0.855
4.733 0.855
4.817 0.973
5.067 0.978
5.150 0.982
5.417 0.981
5.500 0.981
5.750 0.979
5.833 0.978
6.100 0.978
6.183 0.977
6.433 0.978
6.517 0.981
6.783 0.984
6.867 0.987
7.117 0.989
7.467 0.987
7.817 0.986
8.150 0.984
8.500 0.981
8.833 0.980
9.183 0.981
9.517 0.981
9.867 0.981
10.200 0.982
10.550 0.983
10.900 0.982
11.233 0.983
11.583 0.984
11.917 0.985
12.267 0.983
12.600 0.984
12.950 0.984
13.283 0.983
13.633 0.982
13.983 0.982
14.317 0.982
14.667 0.982
15.000 0.983
15.350 0.984
15.700 0.986
16.033 0.985
16.383 0.985
16.717 0.984
17.067 0.982
17.400 0.982
17.750 0.982
18.083 0.981
18.433 0.981
18.783 0.982
19.117 0.980
19.467 0.981
19.800 0.980
20.150 0.980
20.500 0.981
20.833 0.982
21.183 0.982
21.533 0.983
21.867 0.984
22.217 0.984
22.550 0.985
22.900 0.984
23.233 0.984
23.583 0.983
23.933 0.983
24.267 0.982
24.617 0.981
24.967 0.982
25.300 0.981
25.650 0.979
26.000 0.977
26.333 0.978
26.683 0.978
27.017 0.980
27.367 0.983
27.717 0.984
28.050 0.984
28.400 0.983
28.733 0.983
29.083 0.983
29.433 0.983
29.767 0.982
30.117 0.982
30.467 0.979
30.800 0.977
31.150 0.976
31.500 0.979
31.833 0.980
32.183 0.980
32.533 0.982
32.867 0.983
33.217 0.981
33.567 0.981
33.917 0.981
34.250 0.981
34.600 0.982
34.950 0.981
35.300 0.981
35.717 0.982
36.067 0.981
36.417 0.980
36.767 0.981
37.100 0.982
37.433 0.982
37.783 0.983
38.133 0.983
38.483 0.983
38.817 0.982
39.167 0.984
39.617 0.984
40.033 0.982
40.367 0.984
40.817 0.984
41.233 0.982
41.583 0.981
42.000 0.982
42.433 0.981
42.867 0.979
43.300 0.981
43.733 0.982
44.167 0.981
44.600 0.980
45.017 0.983
45.450 0.982
45.883 0.983
46.317 0.985
46.733 0.984
47.167 0.982
47.600 0.982
48.033 0.982
48.467 0.981
48.883 0.984
49.417 0.986
49.917 0.985
50.467 0.985
50.950 0.984
51.483 0.982
51.917 0.983
52.317 0.984
52.483 0.982
52.800 0.982
53.033 0.983
53.233 0.982
53.467 0.982
53.667 0.984
53.900 0.985
54.083 0.986
54.317 0.985
54.517 0.983
54.900 0.983
55.067 0.982
55.333 0.981
55.500 0.981
55.750 0.982
55.950 0.982
56.217 0.986
56.450 0.988
56.800 0.981
57.000 0.977
57.233 0.975
57.433 0.970
57.650 0.970
57.850 0.977
58.083 0.980
58.283 0.979
58.517 0.983
58.717 0.985
59.100 0.986
59.267 0.990
59.633 0.993
