i value
0.000 0.860
0.350 0.816
0.600 0.867
0.683 0.883
0.950 0.864
1.117 0.885
1.200 0.858
1.467 0.851
1.550 0.853
1.717 0.854
1.800 0.855
2.067 0.863
3.700 0.698
4.033 0.953
4.383 0.962
4.467 0.985
4.733 0.982
4.817 0.982
5.067 0.980
5.150 0.979
5.417 0.981
5.500 0.982
5.750 0.974
5.833 0.974
6.100 0.977
6.183 0.978
6.433 0.988
6.517 0.987
6.783 0.989
6.867 0.991
7.117 0.989
7.467 0.980
7.817 0.978
8.150 0.979
8.500 0.979
8.833 0.984
9.183 0.984
9.517 0.980
9.867 0.979
10.200 0.980
10.550 0.990
10.900 0.979
11.233 0.983
11.583 0.989
11.917 0.983
12.267 0.980
12.600 0.983
12.950 0.984
13.283 0.985
13.633 0.979
13.983 0.979
14.317 0.984
14.667 0.982
15.000 0.988
15.350 0.989
15.700 0.986
16.033 0.979
16.383 0.984
16.717 0.982
17.067 0.977
17.400 0.987
17.750 0.978
18.083 0.981
18.433 0.982
18.783 0.981
19.117 0.976
19.467 0.988
19.800 0.974
20.150 0.980
20.500 0.985
20.833 0.981
21.183 0.988
21.533 0.979
21.867 0.986
22.217 0.986
22.550 0.986
22.900 0.984
23.233 0.979
23.583 0.981
23.933 0.983
24.267 0.986
24.617 0.978
24.967 0.981
25.300 0.976
25.650 0.972
26.000 0.976
26.333 0.984
26.683 0.984
27.017 0.984
27.367 0.988
27.717 0.982
28.050 0.980
28.400 0.980
28.733 0.986
29.083 0.986
29.433 0.981
29.767 0.976
30.117 0.980
30.467 0.972
30.800 0.975
31.150 0.978
31.500 0.990
31.833 0.983
32.183 0.976
32.533 0.985
32.867 0.981
33.217 0.981
33.567 0.981
33.917 0.978
34.250 0.983
34.600 0.987
34.950 0.976
35.300 0.982
35.717 0.980
36.067 0.978
36.417 0.985
36.767 0.979
37.100 0.988
37.433 0.979
37.783 0.982
38.133 0.986
38.483 0.979
38.817 0.984
39.167 0.989
39.617 0.984
40.033 0.975
40.367 0.990
40.817 0.984
41.233 0.980
41.583 0.976
42.000 0.982
42.433 0.985
42.867 0.973
43.300 0.987
43.733 0.984
44.167 0.975
44.600 0.982
45.017 0.985
45.450 0.984
45.883 0.988
46.317 0.985
46.733 0.977
47.167 0.979
47.600 0.984
48.033 0.987
48.467 0.981
48.883 0.990
49.417 0.987
49.917 0.983
50.467 0.983
50.950 0.978
51.483 0.980
51.917 0.990
52.317 0.987
52.483 0.977
52.800 0.977
53.033 0.983
53.233 0.985
53.467 0.988
53.667 0.986
53.900 0.984
54.083 0.985
54.317 0.981
54.517 0.981
54.900 0.984
55.067 0.981
55.333 0.978
55.500 0.983
55.750 0.984
55.950 0.987
56.217 1.000
56.450 0.986
56.800 0.951
57.000 0.960
57.233 0.978
57.433 0.977
57.650 0.982
57.850 0.988
58.083 0.975
58.283 0.975
58.517 0.994
58.717 0.994
59.100 0.994
59.267 0.994
59.633 0.990
