i value
0.000 90.000
0.267 90.000
0.600 90.000
0.950 90.000
1.200 90.000
1.550 90.000
1.800 90.000
2.400 90.000
2.750 90.000
3.100 90.000
4.033 90.000
4.383 90.000
4.633 90.000
4.983 90.000
5.233 90.000
5.583 90.000
5.833 90.000
6.183 90.000
6.517 90.000
6.867 90.000
7.117 90.000
7.467 90.000
7.717 90.000
8.067 90.000
8.317 90.000
8.667 90.000
9.000 90.000
9.350 90.000
9.600 90.000
9.950 90.000
10.283 90.000
10.633 90.000
10.883 90.000
11.233 90.000
11.567 90.000
11.917 90.000
12.167 90.000
12.517 90.000
12.850 90.000
13.200 90.000
13.450 90.000
13.800 90.000
14.050 90.000
14.400 90.000
14.733 90.000
15.083 90.000
15.333 90.000
15.683 90.000
16.017 90.000
16.367 90.000
16.617 90.000
16.967 90.000
17.300 90.000
17.650 90.000
17.900 90.000
18.250 90.000
18.583 90.000
18.933 90.000
19.183 90.000
19.533 90.000
19.783 90.000
20.133 90.000
20.467 90.000
20.817 90.000
21.067 90.000
21.417 90.000
21.667 90.000
22.017 90.000
22.367 90.000
22.700 90.000
23.050 90.000
23.383 90.000
23.733 90.000
23.983 90.000
24.333 90.000
24.583 90.000
24.933 90.000
25.267 90.000
25.617 90.000
25.967 90.000
26.300 90.000
26.650 90.000
26.983 90.000
27.333 90.000
27.667 90.000
28.017 90.000
28.367 90.000
28.700 90.000
29.050 90.000
29.383 90.000
29.733 90.000
30.067 90.000
30.417 90.000
30.767 90.000
31.100 90.000
31.450 90.000
31.783 90.000
32.133 90.000
32.483 90.000
32.817 90.000
33.167 90.000
33.517 90.000
33.850 90.000
34.200 90.000
34.550 90.000
34.883 90.000
35.233 90.000
35.583 90.000
35.917 90.000
36.267 90.000
36.600 90.000
36.950 90.000
37.300 90.000
37.633 90.000
37.983 90.000
38.333 90.000
38.667 90.000
39.017 90.000
39.350 90.000
39.700 90.000
40.133 90.000
40.467 90.000
40.900 90.000
41.333 90.000
41.667 90.000
42.100 90.000
42.533 90.000
42.967 90.000
43.383 90.000
43.817 90.000
44.250 90.000
44.683 90.000
45.100 90.000
45.533 90.000
45.950 90.000
46.383 90.000
46.817 90.000
47.233 90.000
47.667 90.000
48.100 90.000
48.533 90.000
48.950 90.000
49.300 90.000
49.633 90.000
49.983 90.000
50.317 90.000
50.667 90.000
51.000 90.000
51.350 90.000
51.783 90.000
52.200 90.000
52.550 90.000
52.900 90.000
53.317 90.000
53.750 90.000
54.183 90.000
54.600 90.000
54.950 90.000
55.383 90.000
55.817 90.000
56.317 90.000
56.667 90.000
57.100 90.000
57.517 90.000
57.950 90.000
58.383 90.000
58.800 90.000
59.150 90.000
59.500 90.000
