i value
0.000 500.000
0.433 500.000
0.950 500.000
1.467 500.000
1.983 500.000
2.500 500.000
3.017 500.000
3.450 500.000
3.967 500.000
4.483 500.000
5.000 500.000
5.500 500.000
6.017 500.000
6.533 500.000
7.050 500.000
7.567 500.000
8.083 500.000
8.600 500.000
9.033 500.000
9.550 500.000
10.050 500.000
10.567 500.000
11.083 500.000
11.600 500.000
12.117 500.000
12.633 500.000
13.133 500.000
13.650 500.000
14.167 500.000
14.683 500.000
15.200 500.000
15.717 500.000
16.233 500.000
16.750 500.000
17.267 500.000
17.767 500.000
18.283 500.000
18.800 500.000
19.317 500.000
